continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Asia,PHL,Philippines,2020,1,3,2020-01-30,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,1,4,2020-01-31,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,5,2020-02-01,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,6,2020-02-02,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,0,2020-02-03,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,1,2020-02-04,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,2,2020-02-05,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,3,2020-02-06,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,4,2020-02-07,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,5,2020-02-08,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,6,2020-02-09,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,0,2020-02-10,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,1,2020-02-11,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,2,2020-02-12,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,3,2020-02-13,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,4,2020-02-14,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,5,2020-02-15,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,6,2020-02-16,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,0,2020-02-17,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,1,2020-02-18,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,2,2020-02-19,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,3,2020-02-20,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,4,2020-02-21,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,5,2020-02-22,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,6,2020-02-23,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,0,2020-02-24,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,1,2020-02-25,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,2,2020-02-26,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,3,2020-02-27,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,4,2020-02-28,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,2,5,2020-02-29,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,6,2020-03-01,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,0,2020-03-02,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,1,2020-03-03,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,2,2020-03-04,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,3,2020-03-05,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,4,2020-03-06,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,5,2020-03-07,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,6,2020-03-08,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,0,2020-03-09,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,1,2020-03-10,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,2,2020-03-11,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,3,2020-03-12,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,4,2020-03-13,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,5,2020-03-14,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,6,2020-03-15,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,0,2020-03-16,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,1,2020-03-17,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,2,2020-03-18,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,3,2020-03-19,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,4,2020-03-20,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,5,2020-03-21,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,6,2020-03-22,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,0,2020-03-23,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,1,2020-03-24,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,2,2020-03-25,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,3,2020-03-26,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,4,2020-03-27,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,5,2020-03-28,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,6,2020-03-29,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,0,2020-03-30,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,3,1,2020-03-31,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,2,2020-04-01,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,3,2020-04-02,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,4,2020-04-03,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,5,2020-04-04,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,6,2020-04-05,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,0,2020-04-06,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,1,2020-04-07,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,2,2020-04-08,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,3,2020-04-09,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,4,2020-04-10,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,5,2020-04-11,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,6,2020-04-12,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,0,2020-04-13,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,1,2020-04-14,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,2,2020-04-15,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,3,2020-04-16,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,4,2020-04-17,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,5,2020-04-18,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,6,2020-04-19,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,0,2020-04-20,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,1,2020-04-21,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,2,2020-04-22,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,3,2020-04-23,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,4,2020-04-24,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,5,2020-04-25,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,6,2020-04-26,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,0,2020-04-27,109581085.0,351.873,25.2,4.803,2.661
Asia,PHL,Philippines,2020,4,1,2020-04-28,109581085.0,351.873,25.2,4.803,2.661
