continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Africa,SYC,Seychelles,2020,3,5,2020-03-14,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,6,2020-03-15,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,0,2020-03-16,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,1,2020-03-17,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,2,2020-03-18,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,3,2020-03-19,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,4,2020-03-20,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,5,2020-03-21,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,6,2020-03-22,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,0,2020-03-23,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,1,2020-03-24,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,2,2020-03-25,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,3,2020-03-26,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,4,2020-03-27,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,5,2020-03-28,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,6,2020-03-29,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,0,2020-03-30,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,3,1,2020-03-31,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,2,2020-04-01,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,3,2020-04-02,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,4,2020-04-03,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,5,2020-04-04,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,6,2020-04-05,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,0,2020-04-06,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,1,2020-04-07,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,2,2020-04-08,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,3,2020-04-09,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,4,2020-04-10,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,5,2020-04-11,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,6,2020-04-12,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,0,2020-04-13,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,1,2020-04-14,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,2,2020-04-15,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,3,2020-04-16,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,4,2020-04-17,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,5,2020-04-18,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,6,2020-04-19,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,0,2020-04-20,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,1,2020-04-21,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,2,2020-04-22,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,3,2020-04-23,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,4,2020-04-24,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,5,2020-04-25,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,6,2020-04-26,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,0,2020-04-27,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,1,2020-04-28,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,2,2020-04-29,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,4,3,2020-04-30,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,4,2020-05-01,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,5,2020-05-02,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,6,2020-05-03,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,0,2020-05-04,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,1,2020-05-05,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,2,2020-05-06,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,3,2020-05-07,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,4,2020-05-08,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,5,2020-05-09,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,6,2020-05-10,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,0,2020-05-11,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,1,2020-05-12,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,2,2020-05-13,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,3,2020-05-14,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,4,2020-05-15,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,5,2020-05-16,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,6,2020-05-17,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,0,2020-05-18,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,1,2020-05-19,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,2,2020-05-20,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,3,2020-05-21,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,4,2020-05-22,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,5,2020-05-23,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,6,2020-05-24,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,0,2020-05-25,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,1,2020-05-26,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,2,2020-05-27,98340.0,208.354,36.2,8.606,5.586
Africa,SYC,Seychelles,2020,5,3,2020-05-28,98340.0,208.354,36.2,8.606,5.586
