continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Oceania,VUT,Vanuatu,2020,11,1,2020-11-10,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,2,2020-11-11,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,3,2020-11-12,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,4,2020-11-13,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,5,2020-11-14,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,6,2020-11-15,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,0,2020-11-16,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,1,2020-11-17,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,2,2020-11-18,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,3,2020-11-19,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,4,2020-11-20,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,5,2020-11-21,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,6,2020-11-22,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,0,2020-11-23,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,1,2020-11-24,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,2,2020-11-25,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,3,2020-11-26,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,4,2020-11-27,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,5,2020-11-28,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,6,2020-11-29,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,11,0,2020-11-30,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,1,2020-12-01,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,2,2020-12-02,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,3,2020-12-03,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,4,2020-12-04,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,5,2020-12-05,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,6,2020-12-06,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,0,2020-12-07,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,1,2020-12-08,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,2,2020-12-09,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,3,2020-12-10,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,4,2020-12-11,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,5,2020-12-12,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,6,2020-12-13,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,0,2020-12-14,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,1,2020-12-15,307150.0,22.662,23.1,4.394,2.62
Oceania,VUT,Vanuatu,2020,12,2,2020-12-16,307150.0,22.662,23.1,4.394,2.62
