continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Africa,ZAF,South Africa,2020,2,4,2020-02-07,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,5,2020-02-08,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,6,2020-02-09,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,0,2020-02-10,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,1,2020-02-11,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,2,2020-02-12,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,3,2020-02-13,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,4,2020-02-14,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,5,2020-02-15,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,6,2020-02-16,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,0,2020-02-17,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,1,2020-02-18,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,2,2020-02-19,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,3,2020-02-20,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,4,2020-02-21,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,5,2020-02-22,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,6,2020-02-23,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,0,2020-02-24,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,1,2020-02-25,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,2,2020-02-26,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,3,2020-02-27,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,4,2020-02-28,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,2,5,2020-02-29,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,6,2020-03-01,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,0,2020-03-02,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,1,2020-03-03,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,2,2020-03-04,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,3,2020-03-05,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,4,2020-03-06,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,5,2020-03-07,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,6,2020-03-08,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,0,2020-03-09,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,1,2020-03-10,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,2,2020-03-11,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,3,2020-03-12,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,4,2020-03-13,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,5,2020-03-14,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,6,2020-03-15,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,0,2020-03-16,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,1,2020-03-17,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,2,2020-03-18,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,3,2020-03-19,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,4,2020-03-20,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,5,2020-03-21,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,6,2020-03-22,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,0,2020-03-23,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,1,2020-03-24,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,2,2020-03-25,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,3,2020-03-26,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,4,2020-03-27,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,5,2020-03-28,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,6,2020-03-29,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,0,2020-03-30,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,3,1,2020-03-31,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,2,2020-04-01,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,3,2020-04-02,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,4,2020-04-03,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,5,2020-04-04,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,6,2020-04-05,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,0,2020-04-06,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,1,2020-04-07,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,2,2020-04-08,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,3,2020-04-09,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,4,2020-04-10,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,5,2020-04-11,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,6,2020-04-12,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,0,2020-04-13,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,1,2020-04-14,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,2,2020-04-15,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,3,2020-04-16,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,4,2020-04-17,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,5,2020-04-18,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,6,2020-04-19,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,0,2020-04-20,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,1,2020-04-21,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,2,2020-04-22,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,3,2020-04-23,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,4,2020-04-24,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,5,2020-04-25,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,6,2020-04-26,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,0,2020-04-27,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,1,2020-04-28,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,2,2020-04-29,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,4,3,2020-04-30,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,5,4,2020-05-01,59308690.0,46.754,27.3,5.344,3.053
Africa,ZAF,South Africa,2020,5,5,2020-05-02,59308690.0,46.754,27.3,5.344,3.053
