continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
North America,BMU,Bermuda,2021,1,6,2021-01-10,0.0,0.0,,,0.0,0.0,
North America,BMU,Bermuda,2021,1,0,2021-01-11,,,,,,,
North America,BMU,Bermuda,2021,1,1,2021-01-12,,,,,,,
North America,BMU,Bermuda,2021,1,2,2021-01-13,,,,,,,
North America,BMU,Bermuda,2021,1,3,2021-01-14,,,,,,,
North America,BMU,Bermuda,2021,1,4,2021-01-15,,,,,,,
North America,BMU,Bermuda,2021,1,5,2021-01-16,1665.0,1665.0,,,2.67,2.67,
North America,BMU,Bermuda,2021,1,6,2021-01-17,,,,,,,
North America,BMU,Bermuda,2021,1,0,2021-01-18,,,,,,,
North America,BMU,Bermuda,2021,1,1,2021-01-19,,,,,,,
North America,BMU,Bermuda,2021,1,2,2021-01-20,,,,,,,
North America,BMU,Bermuda,2021,1,3,2021-01-21,,,,,,,
North America,BMU,Bermuda,2021,1,4,2021-01-22,,,,,,,
North America,BMU,Bermuda,2021,1,5,2021-01-23,2932.0,2932.0,,,4.71,4.71,
North America,BMU,Bermuda,2021,1,6,2021-01-24,,,,,,,
North America,BMU,Bermuda,2021,1,0,2021-01-25,,,,,,,
North America,BMU,Bermuda,2021,1,1,2021-01-26,,,,,,,
North America,BMU,Bermuda,2021,1,2,2021-01-27,,,,,,,
North America,BMU,Bermuda,2021,1,3,2021-01-28,,,,,,,
North America,BMU,Bermuda,2021,1,4,2021-01-29,,,,,,,
North America,BMU,Bermuda,2021,1,5,2021-01-30,4897.0,4897.0,,,7.86,7.86,
North America,BMU,Bermuda,2021,1,6,2021-01-31,,,,,,,
North America,BMU,Bermuda,2021,2,0,2021-02-01,,,,,,,
North America,BMU,Bermuda,2021,2,1,2021-02-02,,,,,,,
North America,BMU,Bermuda,2021,2,2,2021-02-03,,,,,,,
North America,BMU,Bermuda,2021,2,3,2021-02-04,,,,,,,
North America,BMU,Bermuda,2021,2,4,2021-02-05,,,,,,,
North America,BMU,Bermuda,2021,2,5,2021-02-06,9095.0,7504.0,1591.0,,14.61,12.05,2.55
North America,BMU,Bermuda,2021,2,6,2021-02-07,,,,,,,
North America,BMU,Bermuda,2021,2,0,2021-02-08,,,,,,,
North America,BMU,Bermuda,2021,2,1,2021-02-09,10000.0,8400.0,1600.0,,16.06,13.49,2.57
North America,BMU,Bermuda,2021,2,2,2021-02-10,,,,,,,
North America,BMU,Bermuda,2021,2,3,2021-02-11,,,,,,,
North America,BMU,Bermuda,2021,2,4,2021-02-12,,,,,,,
North America,BMU,Bermuda,2021,2,5,2021-02-13,,,,,,,
North America,BMU,Bermuda,2021,2,6,2021-02-14,,,,,,,
North America,BMU,Bermuda,2021,2,0,2021-02-15,13155.0,,,,21.12,,
