continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
South America,CHL,Chile,2020,2,6,2020-02-23,,,,,,,
South America,CHL,Chile,2020,2,0,2020-02-24,,,,,,,
South America,CHL,Chile,2020,2,1,2020-02-25,,,,,,,
South America,CHL,Chile,2020,2,2,2020-02-26,,,,,,,
South America,CHL,Chile,2020,2,3,2020-02-27,,,,,,,
South America,CHL,Chile,2020,2,4,2020-02-28,,,,,,,
South America,CHL,Chile,2020,2,5,2020-02-29,,,,,,,
South America,CHL,Chile,2020,3,6,2020-03-01,,,,,,,
South America,CHL,Chile,2020,3,0,2020-03-02,,,,,,,
South America,CHL,Chile,2020,3,1,2020-03-03,,,,,,,
South America,CHL,Chile,2020,3,2,2020-03-04,,,,,,,
South America,CHL,Chile,2020,3,3,2020-03-05,,,,,,,
South America,CHL,Chile,2020,3,4,2020-03-06,,,,,,,
South America,CHL,Chile,2020,3,5,2020-03-07,,,,,,,
South America,CHL,Chile,2020,3,6,2020-03-08,,,,,,,
South America,CHL,Chile,2020,3,0,2020-03-09,,,,,,,
South America,CHL,Chile,2020,3,1,2020-03-10,,,,,,,
South America,CHL,Chile,2020,3,2,2020-03-11,,,,,,,
South America,CHL,Chile,2020,3,3,2020-03-12,,,,,,,
South America,CHL,Chile,2020,3,4,2020-03-13,,,,,,,
South America,CHL,Chile,2020,3,5,2020-03-14,,,,,,,
South America,CHL,Chile,2020,3,6,2020-03-15,,,,,,,
South America,CHL,Chile,2020,3,0,2020-03-16,,,,,,,
South America,CHL,Chile,2020,3,1,2020-03-17,,,,,,,
South America,CHL,Chile,2020,3,2,2020-03-18,,,,,,,
South America,CHL,Chile,2020,3,3,2020-03-19,,,,,,,
South America,CHL,Chile,2020,3,4,2020-03-20,,,,,,,
South America,CHL,Chile,2020,3,5,2020-03-21,,,,,,,
South America,CHL,Chile,2020,3,6,2020-03-22,,,,,,,
South America,CHL,Chile,2020,3,0,2020-03-23,,,,,,,
South America,CHL,Chile,2020,3,1,2020-03-24,,,,,,,
South America,CHL,Chile,2020,3,2,2020-03-25,,,,,,,
South America,CHL,Chile,2020,3,3,2020-03-26,,,,,,,
South America,CHL,Chile,2020,3,4,2020-03-27,,,,,,,
South America,CHL,Chile,2020,3,5,2020-03-28,,,,,,,
South America,CHL,Chile,2020,3,6,2020-03-29,,,,,,,
South America,CHL,Chile,2020,3,0,2020-03-30,,,,,,,
South America,CHL,Chile,2020,3,1,2020-03-31,,,,,,,
South America,CHL,Chile,2020,4,2,2020-04-01,,,,,,,
South America,CHL,Chile,2020,4,3,2020-04-02,,,,,,,
South America,CHL,Chile,2020,4,4,2020-04-03,,,,,,,
South America,CHL,Chile,2020,4,5,2020-04-04,,,,,,,
South America,CHL,Chile,2020,4,6,2020-04-05,,,,,,,
South America,CHL,Chile,2020,4,0,2020-04-06,,,,,,,
South America,CHL,Chile,2020,4,1,2020-04-07,,,,,,,
South America,CHL,Chile,2020,4,2,2020-04-08,,,,,,,
South America,CHL,Chile,2020,4,3,2020-04-09,,,,,,,
South America,CHL,Chile,2020,4,4,2020-04-10,,,,,,,
South America,CHL,Chile,2020,4,5,2020-04-11,,,,,,,
South America,CHL,Chile,2020,4,6,2020-04-12,,,,,,,
South America,CHL,Chile,2020,4,0,2020-04-13,,,,,,,
South America,CHL,Chile,2020,4,1,2020-04-14,,,,,,,
South America,CHL,Chile,2020,4,2,2020-04-15,,,,,,,
South America,CHL,Chile,2020,4,3,2020-04-16,,,,,,,
South America,CHL,Chile,2020,4,4,2020-04-17,,,,,,,
South America,CHL,Chile,2020,4,5,2020-04-18,,,,,,,
South America,CHL,Chile,2020,4,6,2020-04-19,,,,,,,
South America,CHL,Chile,2020,4,0,2020-04-20,,,,,,,
