continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Europe,GIB,Gibraltar,2021,1,6,2021-01-10,420.0,420.0,,,1.25,1.25,
Europe,GIB,Gibraltar,2021,1,0,2021-01-11,1445.0,1445.0,,1025.0,4.29,4.29,
Europe,GIB,Gibraltar,2021,1,1,2021-01-12,2501.0,2501.0,,1056.0,7.42,7.42,
Europe,GIB,Gibraltar,2021,1,2,2021-01-13,,,,,,,
Europe,GIB,Gibraltar,2021,1,3,2021-01-14,,,,,,,
Europe,GIB,Gibraltar,2021,1,4,2021-01-15,5135.0,5135.0,,,15.24,15.24,
Europe,GIB,Gibraltar,2021,1,5,2021-01-16,5847.0,5847.0,,712.0,17.35,17.35,
Europe,GIB,Gibraltar,2021,1,6,2021-01-17,5847.0,5847.0,,0.0,17.35,17.35,
Europe,GIB,Gibraltar,2021,1,0,2021-01-18,6435.0,6435.0,,588.0,19.1,19.1,
Europe,GIB,Gibraltar,2021,1,1,2021-01-19,7017.0,7017.0,,582.0,20.83,20.83,
Europe,GIB,Gibraltar,2021,1,2,2021-01-20,7017.0,7017.0,,0.0,20.83,20.83,
Europe,GIB,Gibraltar,2021,1,3,2021-01-21,7947.0,7947.0,,930.0,23.59,23.59,
Europe,GIB,Gibraltar,2021,1,4,2021-01-22,8877.0,8877.0,,930.0,26.35,26.35,
Europe,GIB,Gibraltar,2021,1,5,2021-01-23,9807.0,9807.0,,930.0,29.11,29.11,
Europe,GIB,Gibraltar,2021,1,6,2021-01-24,10341.0,10341.0,,534.0,30.69,30.69,
Europe,GIB,Gibraltar,2021,1,0,2021-01-25,10539.0,10539.0,,198.0,31.28,31.28,
Europe,GIB,Gibraltar,2021,1,1,2021-01-26,11073.0,11073.0,,534.0,32.87,32.87,
Europe,GIB,Gibraltar,2021,1,2,2021-01-27,11607.0,11073.0,,534.0,34.45,32.87,
Europe,GIB,Gibraltar,2021,1,3,2021-01-28,12332.0,12332.0,,725.0,36.6,36.6,
Europe,GIB,Gibraltar,2021,1,4,2021-01-29,12866.0,12866.0,,534.0,38.19,38.19,
Europe,GIB,Gibraltar,2021,1,5,2021-01-30,12866.0,12866.0,,0.0,38.19,38.19,
Europe,GIB,Gibraltar,2021,1,6,2021-01-31,13286.0,12886.0,400.0,420.0,39.43,38.25,1.19
Europe,GIB,Gibraltar,2021,2,0,2021-02-01,14299.0,12974.0,1325.0,1013.0,42.44,38.51,3.93
Europe,GIB,Gibraltar,2021,2,1,2021-02-02,15391.0,13071.0,2320.0,1092.0,45.68,38.8,6.89
Europe,GIB,Gibraltar,2021,2,2,2021-02-03,16177.0,13166.0,3011.0,786.0,48.02,39.08,8.94
Europe,GIB,Gibraltar,2021,2,3,2021-02-04,17189.0,13246.0,3943.0,1012.0,51.02,39.32,11.7
Europe,GIB,Gibraltar,2021,2,4,2021-02-05,18274.0,13398.0,4876.0,1085.0,54.24,39.77,14.47
Europe,GIB,Gibraltar,2021,2,5,2021-02-06,19072.0,13499.0,5573.0,798.0,56.61,40.07,16.54
Europe,GIB,Gibraltar,2021,2,6,2021-02-07,19072.0,13499.0,5573.0,0.0,56.61,40.07,16.54
Europe,GIB,Gibraltar,2021,2,0,2021-02-08,20044.0,13904.0,6140.0,972.0,59.49,41.27,18.22
Europe,GIB,Gibraltar,2021,2,1,2021-02-09,21021.0,14302.0,6719.0,977.0,62.39,42.45,19.94
Europe,GIB,Gibraltar,2021,2,2,2021-02-10,21999.0,15262.0,6737.0,978.0,65.3,45.3,20.0
Europe,GIB,Gibraltar,2021,2,3,2021-02-11,23103.0,15436.0,7667.0,1104.0,68.57,45.82,22.76
Europe,GIB,Gibraltar,2021,2,4,2021-02-12,24195.0,15600.0,8595.0,1092.0,71.81,46.3,25.51
Europe,GIB,Gibraltar,2021,2,5,2021-02-13,25287.0,15765.0,9522.0,1092.0,75.06,46.79,28.26
Europe,GIB,Gibraltar,2021,2,6,2021-02-14,25941.0,15888.0,10053.0,654.0,77.0,47.16,29.84
Europe,GIB,Gibraltar,2021,2,0,2021-02-15,26379.0,16135.0,10244.0,438.0,78.3,47.89,30.41
Europe,GIB,Gibraltar,2021,2,1,2021-02-16,27033.0,16261.0,10772.0,654.0,80.24,48.27,31.97
Europe,GIB,Gibraltar,2021,2,2,2021-02-17,27687.0,16384.0,11303.0,654.0,82.18,48.63,33.55
Europe,GIB,Gibraltar,2021,2,3,2021-02-18,28778.0,16725.0,12053.0,1091.0,85.42,49.64,35.78
Europe,GIB,Gibraltar,2021,2,4,2021-02-19,29334.0,16761.0,12573.0,556.0,87.07,49.75,37.32
Europe,GIB,Gibraltar,2021,2,5,2021-02-20,29334.0,16761.0,12573.0,0.0,87.07,49.75,37.32
Europe,GIB,Gibraltar,2021,2,6,2021-02-21,30432.0,17826.0,12606.0,1098.0,90.33,52.91,37.42
Europe,GIB,Gibraltar,2021,2,0,2021-02-22,31631.0,18902.0,12729.0,1199.0,93.89,56.1,37.78
