continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Europe,JEY,Jersey,2021,1,6,2021-01-24,11385.0,8334.0,3051.0,,11.26,8.25,3.02
Europe,JEY,Jersey,2021,1,0,2021-01-25,,,,,,,
Europe,JEY,Jersey,2021,1,1,2021-01-26,,,,,,,
Europe,JEY,Jersey,2021,1,2,2021-01-27,,,,,,,
Europe,JEY,Jersey,2021,1,3,2021-01-28,,,,,,,
Europe,JEY,Jersey,2021,1,4,2021-01-29,,,,,,,
Europe,JEY,Jersey,2021,1,5,2021-01-30,,,,,,,
Europe,JEY,Jersey,2021,1,6,2021-01-31,14838.0,11707.0,3131.0,,14.68,11.58,3.1
Europe,JEY,Jersey,2021,2,0,2021-02-01,,,,,,,
Europe,JEY,Jersey,2021,2,1,2021-02-02,,,,,,,
Europe,JEY,Jersey,2021,2,2,2021-02-03,,,,,,,
Europe,JEY,Jersey,2021,2,3,2021-02-04,,,,,,,
Europe,JEY,Jersey,2021,2,4,2021-02-05,,,,,,,
Europe,JEY,Jersey,2021,2,5,2021-02-06,,,,,,,
Europe,JEY,Jersey,2021,2,6,2021-02-07,21007.0,17829.0,3178.0,,20.78,17.64,3.14
Europe,JEY,Jersey,2021,2,0,2021-02-08,,,,,,,
Europe,JEY,Jersey,2021,2,1,2021-02-09,,,,,,,
Europe,JEY,Jersey,2021,2,2,2021-02-10,,,,,,,
Europe,JEY,Jersey,2021,2,3,2021-02-11,,,,,,,
Europe,JEY,Jersey,2021,2,4,2021-02-12,,,,,,,
Europe,JEY,Jersey,2021,2,5,2021-02-13,,,,,,,
Europe,JEY,Jersey,2021,2,6,2021-02-14,25952.0,22696.0,3256.0,,25.68,22.46,3.22
