continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
North America,MEX,Mexico,2020,1,2,2020-01-01,,,,,,,
North America,MEX,Mexico,2020,1,3,2020-01-02,,,,,,,
North America,MEX,Mexico,2020,1,4,2020-01-03,,,,,,,
North America,MEX,Mexico,2020,1,5,2020-01-04,,,,,,,
North America,MEX,Mexico,2020,1,6,2020-01-05,,,,,,,
North America,MEX,Mexico,2020,1,0,2020-01-06,,,,,,,
North America,MEX,Mexico,2020,1,1,2020-01-07,,,,,,,
North America,MEX,Mexico,2020,1,2,2020-01-08,,,,,,,
North America,MEX,Mexico,2020,1,3,2020-01-09,,,,,,,
North America,MEX,Mexico,2020,1,4,2020-01-10,,,,,,,
North America,MEX,Mexico,2020,1,5,2020-01-11,,,,,,,
North America,MEX,Mexico,2020,1,6,2020-01-12,,,,,,,
North America,MEX,Mexico,2020,1,0,2020-01-13,,,,,,,
North America,MEX,Mexico,2020,1,1,2020-01-14,,,,,,,
North America,MEX,Mexico,2020,1,2,2020-01-15,,,,,,,
North America,MEX,Mexico,2020,1,3,2020-01-16,,,,,,,
North America,MEX,Mexico,2020,1,4,2020-01-17,,,,,,,
North America,MEX,Mexico,2020,1,5,2020-01-18,,,,,,,
North America,MEX,Mexico,2020,1,6,2020-01-19,,,,,,,
North America,MEX,Mexico,2020,1,0,2020-01-20,,,,,,,
North America,MEX,Mexico,2020,1,1,2020-01-21,,,,,,,
North America,MEX,Mexico,2020,1,2,2020-01-22,,,,,,,
North America,MEX,Mexico,2020,1,3,2020-01-23,,,,,,,
North America,MEX,Mexico,2020,1,4,2020-01-24,,,,,,,
North America,MEX,Mexico,2020,1,5,2020-01-25,,,,,,,
North America,MEX,Mexico,2020,1,6,2020-01-26,,,,,,,
North America,MEX,Mexico,2020,1,0,2020-01-27,,,,,,,
North America,MEX,Mexico,2020,1,1,2020-01-28,,,,,,,
North America,MEX,Mexico,2020,1,2,2020-01-29,,,,,,,
North America,MEX,Mexico,2020,1,3,2020-01-30,,,,,,,
North America,MEX,Mexico,2020,1,4,2020-01-31,,,,,,,
North America,MEX,Mexico,2020,2,5,2020-02-01,,,,,,,
North America,MEX,Mexico,2020,2,6,2020-02-02,,,,,,,
North America,MEX,Mexico,2020,2,0,2020-02-03,,,,,,,
North America,MEX,Mexico,2020,2,1,2020-02-04,,,,,,,
North America,MEX,Mexico,2020,2,2,2020-02-05,,,,,,,
North America,MEX,Mexico,2020,2,3,2020-02-06,,,,,,,
North America,MEX,Mexico,2020,2,4,2020-02-07,,,,,,,
North America,MEX,Mexico,2020,2,5,2020-02-08,,,,,,,
North America,MEX,Mexico,2020,2,6,2020-02-09,,,,,,,
North America,MEX,Mexico,2020,2,0,2020-02-10,,,,,,,
North America,MEX,Mexico,2020,2,1,2020-02-11,,,,,,,
North America,MEX,Mexico,2020,2,2,2020-02-12,,,,,,,
North America,MEX,Mexico,2020,2,3,2020-02-13,,,,,,,
North America,MEX,Mexico,2020,2,4,2020-02-14,,,,,,,
North America,MEX,Mexico,2020,2,5,2020-02-15,,,,,,,
North America,MEX,Mexico,2020,2,6,2020-02-16,,,,,,,
North America,MEX,Mexico,2020,2,0,2020-02-17,,,,,,,
North America,MEX,Mexico,2020,2,1,2020-02-18,,,,,,,
North America,MEX,Mexico,2020,2,2,2020-02-19,,,,,,,
North America,MEX,Mexico,2020,2,3,2020-02-20,,,,,,,
North America,MEX,Mexico,2020,2,4,2020-02-21,,,,,,,
North America,MEX,Mexico,2020,2,5,2020-02-22,,,,,,,
North America,MEX,Mexico,2020,2,6,2020-02-23,,,,,,,
North America,MEX,Mexico,2020,2,0,2020-02-24,,,,,,,
North America,MEX,Mexico,2020,2,1,2020-02-25,,,,,,,
North America,MEX,Mexico,2020,2,2,2020-02-26,,,,,,,
North America,MEX,Mexico,2020,2,3,2020-02-27,,,,,,,
North America,MEX,Mexico,2020,2,4,2020-02-28,,,,,,,
North America,MEX,Mexico,2020,2,5,2020-02-29,,,,,,,
North America,MEX,Mexico,2020,3,6,2020-03-01,,,,,,,
North America,MEX,Mexico,2020,3,0,2020-03-02,,,,,,,
North America,MEX,Mexico,2020,3,1,2020-03-03,,,,,,,
North America,MEX,Mexico,2020,3,2,2020-03-04,,,,,,,
North America,MEX,Mexico,2020,3,3,2020-03-05,,,,,,,
North America,MEX,Mexico,2020,3,4,2020-03-06,,,,,,,
North America,MEX,Mexico,2020,3,5,2020-03-07,,,,,,,
North America,MEX,Mexico,2020,3,6,2020-03-08,,,,,,,
North America,MEX,Mexico,2020,3,0,2020-03-09,,,,,,,
North America,MEX,Mexico,2020,3,1,2020-03-10,,,,,,,
North America,MEX,Mexico,2020,3,2,2020-03-11,,,,,,,
North America,MEX,Mexico,2020,3,3,2020-03-12,,,,,,,
North America,MEX,Mexico,2020,3,4,2020-03-13,,,,,,,
North America,MEX,Mexico,2020,3,5,2020-03-14,,,,,,,
North America,MEX,Mexico,2020,3,6,2020-03-15,,,,,,,
North America,MEX,Mexico,2020,3,0,2020-03-16,,,,,,,
North America,MEX,Mexico,2020,3,1,2020-03-17,,,,,,,
North America,MEX,Mexico,2020,3,2,2020-03-18,,,,,,,
North America,MEX,Mexico,2020,3,3,2020-03-19,,,,,,,
North America,MEX,Mexico,2020,3,4,2020-03-20,,,,,,,
North America,MEX,Mexico,2020,3,5,2020-03-21,,,,,,,
North America,MEX,Mexico,2020,3,6,2020-03-22,,,,,,,
North America,MEX,Mexico,2020,3,0,2020-03-23,,,,,,,
North America,MEX,Mexico,2020,3,1,2020-03-24,,,,,,,
North America,MEX,Mexico,2020,3,2,2020-03-25,,,,,,,
North America,MEX,Mexico,2020,3,3,2020-03-26,,,,,,,
North America,MEX,Mexico,2020,3,4,2020-03-27,,,,,,,
North America,MEX,Mexico,2020,3,5,2020-03-28,,,,,,,
North America,MEX,Mexico,2020,3,6,2020-03-29,,,,,,,
North America,MEX,Mexico,2020,3,0,2020-03-30,,,,,,,
North America,MEX,Mexico,2020,3,1,2020-03-31,,,,,,,
North America,MEX,Mexico,2020,4,2,2020-04-01,,,,,,,
North America,MEX,Mexico,2020,4,3,2020-04-02,,,,,,,
North America,MEX,Mexico,2020,4,4,2020-04-03,,,,,,,
North America,MEX,Mexico,2020,4,5,2020-04-04,,,,,,,
North America,MEX,Mexico,2020,4,6,2020-04-05,,,,,,,
North America,MEX,Mexico,2020,4,0,2020-04-06,,,,,,,
North America,MEX,Mexico,2020,4,1,2020-04-07,,,,,,,
North America,MEX,Mexico,2020,4,2,2020-04-08,,,,,,,
North America,MEX,Mexico,2020,4,3,2020-04-09,,,,,,,
North America,MEX,Mexico,2020,4,4,2020-04-10,,,,,,,
North America,MEX,Mexico,2020,4,5,2020-04-11,,,,,,,
North America,MEX,Mexico,2020,4,6,2020-04-12,,,,,,,
North America,MEX,Mexico,2020,4,0,2020-04-13,,,,,,,
North America,MEX,Mexico,2020,4,1,2020-04-14,,,,,,,
North America,MEX,Mexico,2020,4,2,2020-04-15,,,,,,,
North America,MEX,Mexico,2020,4,3,2020-04-16,,,,,,,
North America,MEX,Mexico,2020,4,4,2020-04-17,,,,,,,
North America,MEX,Mexico,2020,4,5,2020-04-18,,,,,,,
North America,MEX,Mexico,2020,4,6,2020-04-19,,,,,,,
North America,MEX,Mexico,2020,4,0,2020-04-20,,,,,,,
North America,MEX,Mexico,2020,4,1,2020-04-21,,,,,,,
North America,MEX,Mexico,2020,4,2,2020-04-22,,,,,,,
North America,MEX,Mexico,2020,4,3,2020-04-23,,,,,,,
North America,MEX,Mexico,2020,4,4,2020-04-24,,,,,,,
North America,MEX,Mexico,2020,4,5,2020-04-25,,,,,,,
North America,MEX,Mexico,2020,4,6,2020-04-26,,,,,,,
North America,MEX,Mexico,2020,4,0,2020-04-27,,,,,,,
North America,MEX,Mexico,2020,4,1,2020-04-28,,,,,,,
North America,MEX,Mexico,2020,4,2,2020-04-29,,,,,,,
North America,MEX,Mexico,2020,4,3,2020-04-30,,,,,,,
North America,MEX,Mexico,2020,5,4,2020-05-01,,,,,,,
North America,MEX,Mexico,2020,5,5,2020-05-02,,,,,,,
North America,MEX,Mexico,2020,5,6,2020-05-03,,,,,,,
North America,MEX,Mexico,2020,5,0,2020-05-04,,,,,,,
North America,MEX,Mexico,2020,5,1,2020-05-05,,,,,,,
North America,MEX,Mexico,2020,5,2,2020-05-06,,,,,,,
North America,MEX,Mexico,2020,5,3,2020-05-07,,,,,,,
North America,MEX,Mexico,2020,5,4,2020-05-08,,,,,,,
North America,MEX,Mexico,2020,5,5,2020-05-09,,,,,,,
North America,MEX,Mexico,2020,5,6,2020-05-10,,,,,,,
North America,MEX,Mexico,2020,5,0,2020-05-11,,,,,,,
North America,MEX,Mexico,2020,5,1,2020-05-12,,,,,,,
North America,MEX,Mexico,2020,5,2,2020-05-13,,,,,,,
North America,MEX,Mexico,2020,5,3,2020-05-14,,,,,,,
North America,MEX,Mexico,2020,5,4,2020-05-15,,,,,,,
North America,MEX,Mexico,2020,5,5,2020-05-16,,,,,,,
North America,MEX,Mexico,2020,5,6,2020-05-17,,,,,,,
North America,MEX,Mexico,2020,5,0,2020-05-18,,,,,,,
North America,MEX,Mexico,2020,5,1,2020-05-19,,,,,,,
North America,MEX,Mexico,2020,5,2,2020-05-20,,,,,,,
