continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
North America,TCA,Turks and Caicos Islands,2021,1,6,2021-01-10,0.0,0.0,,,0.0,0.0,
North America,TCA,Turks and Caicos Islands,2021,1,0,2021-01-11,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,1,2021-01-12,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,2,2021-01-13,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,3,2021-01-14,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,4,2021-01-15,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,5,2021-01-16,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,6,2021-01-17,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,0,2021-01-18,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,1,2021-01-19,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,2,2021-01-20,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,3,2021-01-21,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,4,2021-01-22,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,5,2021-01-23,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,6,2021-01-24,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,0,2021-01-25,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,1,2021-01-26,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,2,2021-01-27,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,3,2021-01-28,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,4,2021-01-29,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,5,2021-01-30,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,1,6,2021-01-31,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,0,2021-02-01,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,1,2021-02-02,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,2,2021-02-03,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,3,2021-02-04,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,4,2021-02-05,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,5,2021-02-06,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,6,2021-02-07,,,,,,,
North America,TCA,Turks and Caicos Islands,2021,2,0,2021-02-08,6433.0,6433.0,,,16.62,16.62,
