continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Oceania,VUT,Vanuatu,2020,11,1,2020-11-10,,,,,,,
Oceania,VUT,Vanuatu,2020,11,2,2020-11-11,,,,,,,
Oceania,VUT,Vanuatu,2020,11,3,2020-11-12,,,,,,,
Oceania,VUT,Vanuatu,2020,11,4,2020-11-13,,,,,,,
Oceania,VUT,Vanuatu,2020,11,5,2020-11-14,,,,,,,
Oceania,VUT,Vanuatu,2020,11,6,2020-11-15,,,,,,,
Oceania,VUT,Vanuatu,2020,11,0,2020-11-16,,,,,,,
Oceania,VUT,Vanuatu,2020,11,1,2020-11-17,,,,,,,
Oceania,VUT,Vanuatu,2020,11,2,2020-11-18,,,,,,,
Oceania,VUT,Vanuatu,2020,11,3,2020-11-19,,,,,,,
Oceania,VUT,Vanuatu,2020,11,4,2020-11-20,,,,,,,
Oceania,VUT,Vanuatu,2020,11,5,2020-11-21,,,,,,,
Oceania,VUT,Vanuatu,2020,11,6,2020-11-22,,,,,,,
Oceania,VUT,Vanuatu,2020,11,0,2020-11-23,,,,,,,
Oceania,VUT,Vanuatu,2020,11,1,2020-11-24,,,,,,,
Oceania,VUT,Vanuatu,2020,11,2,2020-11-25,,,,,,,
Oceania,VUT,Vanuatu,2020,11,3,2020-11-26,,,,,,,
Oceania,VUT,Vanuatu,2020,11,4,2020-11-27,,,,,,,
Oceania,VUT,Vanuatu,2020,11,5,2020-11-28,,,,,,,
Oceania,VUT,Vanuatu,2020,11,6,2020-11-29,,,,,,,
Oceania,VUT,Vanuatu,2020,11,0,2020-11-30,,,,,,,
Oceania,VUT,Vanuatu,2020,12,1,2020-12-01,,,,,,,
Oceania,VUT,Vanuatu,2020,12,2,2020-12-02,,,,,,,
Oceania,VUT,Vanuatu,2020,12,3,2020-12-03,,,,,,,
Oceania,VUT,Vanuatu,2020,12,4,2020-12-04,,,,,,,
Oceania,VUT,Vanuatu,2020,12,5,2020-12-05,,,,,,,
Oceania,VUT,Vanuatu,2020,12,6,2020-12-06,,,,,,,
Oceania,VUT,Vanuatu,2020,12,0,2020-12-07,,,,,,,
Oceania,VUT,Vanuatu,2020,12,1,2020-12-08,,,,,,,
Oceania,VUT,Vanuatu,2020,12,2,2020-12-09,,,,,,,
Oceania,VUT,Vanuatu,2020,12,3,2020-12-10,,,,,,,
Oceania,VUT,Vanuatu,2020,12,4,2020-12-11,,,,,,,
Oceania,VUT,Vanuatu,2020,12,5,2020-12-12,,,,,,,
Oceania,VUT,Vanuatu,2020,12,6,2020-12-13,,,,,,,
Oceania,VUT,Vanuatu,2020,12,0,2020-12-14,,,,,,,
Oceania,VUT,Vanuatu,2020,12,1,2020-12-15,,,,,,,
Oceania,VUT,Vanuatu,2020,12,2,2020-12-16,,,,,,,
Oceania,VUT,Vanuatu,2020,12,3,2020-12-17,,,,,,,
Oceania,VUT,Vanuatu,2020,12,4,2020-12-18,,,,,,,
Oceania,VUT,Vanuatu,2020,12,5,2020-12-19,,,,,,,
Oceania,VUT,Vanuatu,2020,12,6,2020-12-20,,,,,,,
Oceania,VUT,Vanuatu,2020,12,0,2020-12-21,,,,,,,
Oceania,VUT,Vanuatu,2020,12,1,2020-12-22,,,,,,,
