LOCATION,TIME,Value
KOR,2019-Q1,-0.339694341
KOR,2019-Q2,1.014142649
KOR,2019-Q3,0.375455057
KOR,2019-Q4,1.311630082
KOR,2020-Q1,-1.281701518
KOR,2020-Q2,-3.153851888
KOR,2020-Q3,2.136144877
KOR,2020-Q4,1.088439802
AUS,2019-Q1,0.497127843
AUS,2019-Q2,0.649124817
AUS,2019-Q3,0.607538848
AUS,2019-Q4,0.393353994
AUS,2020-Q1,-0.279320053
AUS,2020-Q2,-7.027382636
AUS,2020-Q3,3.328123983
ISL,2019-Q1,-0.167527946
ISL,2019-Q2,-0.756734557
ISL,2019-Q3,-2.278947744
ISL,2019-Q4,6.211608107
ISL,2020-Q1,-7.600387833
ISL,2020-Q2,-7.314675727
ISL,2020-Q3,2.58498745
GBR,2019-Q1,0.552374299
GBR,2019-Q2,0.138397435
GBR,2019-Q3,0.497283852
GBR,2019-Q4,0.017259139
GBR,2020-Q1,-2.882513084
GBR,2020-Q2,-19.039337959
GBR,2020-Q3,16.131886707
GBR,2020-Q4,0.975470496
EST,2019-Q1,2.409699061
EST,2019-Q2,0.426008333
EST,2019-Q3,0.471135039
EST,2019-Q4,0.484044841
EST,2020-Q1,-0.820471658
EST,2020-Q2,-5.493447446
EST,2020-Q3,3.255995705
DNK,2019-Q1,0.786605447
DNK,2019-Q2,1.04614492
DNK,2019-Q3,0.510219336
DNK,2019-Q4,0.015317198
DNK,2020-Q1,-1.514692467
DNK,2020-Q2,-7.071245748
DNK,2020-Q3,5.222782905
DNK,2020-Q4,0.599981891
ESP,2019-Q1,0.522265726
ESP,2019-Q2,0.378039987
ESP,2019-Q3,0.353791001
ESP,2019-Q4,0.414757334
ESP,2020-Q1,-5.250324773
ESP,2020-Q2,-17.878839015
ESP,2020-Q3,16.412377136
ESP,2020-Q4,0.405251351
JPN,2019-Q1,0.57285898
JPN,2019-Q2,0.077633054
JPN,2019-Q3,0.178082423
JPN,2019-Q4,-1.836884
JPN,2020-Q1,-0.564724465
JPN,2020-Q2,-8.301064833
JPN,2020-Q3,5.256478819
JPN,2020-Q4,3.038142198
NOR,2019-Q1,-0.131827962
NOR,2019-Q2,0.158514239
NOR,2019-Q3,-0.043670415
NOR,2019-Q4,1.734618169
NOR,2020-Q1,-1.422991929
NOR,2020-Q2,-4.599674659
NOR,2020-Q3,4.458578641
NOR,2020-Q4,0.636059628
HUN,2019-Q1,1.620558047
HUN,2019-Q2,0.752325123
HUN,2019-Q3,0.959587026
