"TIME","GEO","S_ADJ","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2010Q3","European Union - 28 countries (2013-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","3 219 688.1",""
"2010Q3","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","88 635.0",""
"2010Q3","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","10 342.2",""
"2010Q3","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","40 716.5",""
"2010Q3","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","61 176.9",""
"2010Q3","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","651 380.0",""
"2010Q3","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","3 831.3",""
"2010Q3","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","42 754.0",""
"2010Q3","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","56 496.6","b"
"2010Q3","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","261 706.0",""
"2010Q3","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","491 577.0",""
"2010Q3","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","12 420.2",""
"2010Q3","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million euro","Gross domestic product at market prices","398 210.7",""
