"TIME","GEO","S_ADJ","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2018Q2","European Union - 27 countries (from 2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","3.368.796,8",""
"2018Q2","European Union - 28 countries (2013-2020)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","3.973.783,7",""
"2018Q2","Euro area - 19 countries  (from 2015)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","2.890.850,7",""
"2018Q2","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","116.273,0",""
"2018Q2","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","26.661,0",""
"2018Q2","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","1.358.981,0",""
"2018Q2","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","570.371,8",""
"2018Q2","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","831.070,0",""
"2018Q2","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","6.507,1",""
"2018Q2","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","78.003,7",""
"2018Q2","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","44.887,9","p"
"2018Q2","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","305.083,0","p"
"2018Q2","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","587.982,0",""
"2018Q2","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Current prices, million units of national currency","Gross domestic product at market prices","97.375,0",""
