 
Year,Months,import_prices_index,Change on previous month in(%),Change on previous year's month in(%),export_prices_index,Change on previous month in(%),Change on previous year's month in(%),Consumer price index,Change on previous year's month in(%),Change on previous month in(%)
2019,January,102.2,-0.2,0.8,102.2,0.1,1.1,103.4,1.4,-0.8
2019,February,102.5,0.3,1.6,102.3,0.1,1.3,103.8,1.5,0.4
2019,March,102.5,-,1.7,102.4,0.1,1.3,104.2,1.3,0.4
2019,April,102.8,0.3,1.4,102.6,0.2,1.3,105.2,2,1
2019,May,102.7,-0.1,-0.2,102.5,-0.1,0.7,105.4,1.4,0.2
2019,June,101.3,-1.4,-2,102.3,-0.2,0.2,105.7,1.6,0.3
2019,July,101.1,-0.2,-2.1,102.4,0.1,0.2,106.2,1.7,0.5
2019,August,100.5,-0.6,-2.7,102.3,-0.1,-0.1,106,1.4,-0.2
2019,September,101.1,0.6,-2.5,102.4,0.1,-,106,1.2,-
2019,October,101,-0.1,-3.5,102.4,-,-0.2,106.1,1.1,0.1
2019,November,101.5,0.5,-2.1,102.4,-,-0.1,105.3,1.1,-0.8
2019,December,101.7,0.2,-0.7,102.5,0.1,0.4,105.8,1.5,0.5
2020,January,101.3,-0.4,-0.9,102.7,0.2,0.5,105.2,1.7,-0.6
2020,February,100.4,-0.9,-2,102.6,-0.1,0.3,105.6,1.7,0.4
2020,March,96.9,-3.5,-5.5,101.9,-0.7,-0.5,105.7,1.4,0.1
2020,April,95.2,-1.8,-7.4,101.5,-0.4,-1.1,106.1,0.9,0.4
2020,May,95.5,0.3,-7,101.3,-0.2,-1.2,106,0.6,-0.1
2020,June,96.1,0.6,-5.1,101.3,-,-1,106.6,0.9,0.6
2020,July,96.4,0.3,-4.6,101.3,-,-1.1,106.1,-0.1,-0.5
2020,August,96.5,0.1,-4,101.2,-0.1,-1.1,106,-,-0.1
2020,September,96.8,0.3,-4.3,101.3,0.1,-1.1,105.8,-0.2,-0.2
2020,October,97.1,0.3,-3.9,101.4,0.1,-1,105.9,-0.2,0.1
2020,November,97.6,0.5,-3.8,101.8,0.4,-0.6,105,-0.3,-0.8
2020,December,...,...,...,...,...,...,105.5,-0.3,0.5
