GENESIS-Tabelle: 61111-0002
Consumer price index (incl. rates of change):;;;;
Germany, months;;;;
Consumer price index for Germany;;;;
Germany;;;;
;;Consumer price index;Change on previous year's month;Change on previous month
;;2015=100;in (%);in (%)
2019;January;103.4;1.4;-0.8
2019;February;103.8;1.5;0.4
2019;March;104.2;1.3;0.4
2019;April;105.2;2.0;1.0
2019;May;105.4;1.4;0.2
2019;June;105.7;1.6;0.3
2019;July;106.2;1.7;0.5
2019;August;106.0;1.4;-0.2
2019;September;106.0;1.2;-
2019;October;106.1;1.1;0.1
2019;November;105.3;1.1;-0.8
2019;December;105.8;1.5;0.5
2020;January;105.2;1.7;-0.6
2020;February;105.6;1.7;0.4
2020;March;105.7;1.4;0.1
2020;April;106.1;0.9;0.4
2020;May;106.0;0.6;-0.1
2020;June;106.6;0.9;0.6
2020;July;106.1;-0.1;-0.5
2020;August;106.0;-;-0.1
2020;September;105.8;-0.2;-0.2
2020;October;105.9;-0.2;0.1
2020;November;105.0;-0.3;-0.8
2020;December;105.5;-0.3;0.5
__________
© Federal Statistical Office, Wiesbaden 2021
created: 2021-01-28 / 01:39:22
