GENESIS-Tabelle: 61421-0010
Index of export prices: Germany, months, euro-countries and;;;;
non-euro countries;;;;
Index of export prices;;;;
Germany;;;;
Index of export prices (2015=100);;;;
;;Euro countries;Non-euro countries;Total
2019;January;103.2;101.7;102.2
2019;February;103.1;101.8;102.3
2019;March;103.1;102.1;102.4
2019;April;103.3;102.1;102.6
2019;May;103.2;102.1;102.5
2019;June;102.8;102.1;102.3
2019;July;102.8;102.2;102.4
2019;August;102.6;102.1;102.3
2019;September;102.6;102.3;102.4
2019;October;102.4;102.3;102.4
2019;November;102.5;102.4;102.4
2019;December;102.6;102.4;102.5
2020;January;102.7;102.7;102.7
2020;February;102.2;102.9;102.6
2020;March;101.4;102.2;101.9
2020;April;100.5;102.0;101.5
2020;May;100.3;101.9;101.3
2020;June;100.6;101.7;101.3
2020;July;100.8;101.5;101.3
2020;August;100.9;101.4;101.2
2020;September;101.3;101.4;101.3
2020;October;101.5;101.4;101.4
2020;November;101.8;101.7;101.8
2020;December;...;...;...
__________
© Federal Statistical Office, Wiesbaden 2020
created: 2021-01-28 / 02:13:53
